INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,NON-,TOTAL MINORITY
Humphreys CollegeCalifornia,809,574,2,51,115,297,6,212,0,44,82,471
Four-D CollegeCalifornia,633,559,2,32,180,264,0,155,0,0,0,478
U. of California-Hastings College of the LawCalifornia,"1,003",530,13,220,49,138,4,364,26,112,77,450
Concorde Career College at San Bernardino (Calif.)California,668,517,1,30,82,339,8,117,38,53,0,498
Heald College at Salinas (Calif.)California,682,507,1,4,9,201,4,42,3,418,0,222
CNI CollegeCalifornia,651,493,8,114,56,273,3,175,3,16,3,457
San Diego Christian CollegeCalifornia,966,490,4,21,129,196,13,440,37,105,21,400
Art Institute of California at San FranciscoCalifornia,"1,058",490,3,98,74,310,14,157,80,322,0,579
Carrington College California at Pleasant Hill (Calif.)California,599,488,8,72,72,160,15,238,15,17,2,342
Carrington College California at Stockton (Calif.)California,549,487,5,46,41,254,15,159,18,10,1,379
Platt College at Alhambra (Calif.)California,661,486,3,109,18,436,3,71,19,2,0,588
Fashion Institute of Design and Merchandising at San FranciscoCalifornia,527,486,3,102,18,125,12,185,21,29,32,281
Heald College at San FranciscoCalifornia,750,480,8,197,136,220,37,88,24,40,0,622
U. of Antelope ValleyCalifornia,772,475,3,15,144,372,6,219,1,11,1,541
Argosy U. Inland EmpireCalifornia,644,472,3,23,224,252,5,101,2,34,0,509
Monterey Institute of International StudiesCalifornia,711,467,0,47,14,63,0,288,19,80,200,143
Southern California U. of Health SciencesCalifornia,876,453,7,101,56,119,74,400,34,61,24,391
California Western School of LawCalifornia,781,450,12,70,29,129,3,409,6,92,31,249
Kaplan College-North HollywoodCalifornia,789,441,3,110,37,404,18,191,0,24,2,572
Thomas Jefferson School of LawCalifornia,849,441,15,99,113,174,6,428,0,0,14,407
Carrington College California at San Leandro (Calif.)California,509,440,7,43,106,212,21,87,23,8,2,412
Everest College at Reseda (Calif.)California,596,435,6,35,24,403,3,74,19,32,0,490
Carrington College California at Citrus Heights (Calif.)California,517,432,14,19,36,76,14,317,24,16,1,183
Art Institute of California at SacramentoCalifornia,993,432,2,30,37,258,7,211,16,431,1,350
Everest College-Ontario Metro (Calif.)California,720,432,0,36,67,442,10,107,47,11,0,602
Everest College at San Bernardino (Calif.)California,737,431,10,8,104,424,8,89,56,38,0,610
Argosy U.-Orange CountyCalifornia,606,411,3,65,65,189,13,245,0,26,0,335
Saybrook U.California,567,407,2,10,39,51,2,275,17,122,49,121
Los Angeles Film SchoolCalifornia,"2,284",406,10,84,560,517,1,354,304,369,85,"1,476"
San Francisco Art InstituteCalifornia,699,406,3,28,11,100,2,330,49,16,160,193
Westwood College-Inland EmpireCalifornia,829,399,1,12,44,521,3,72,11,165,0,592
South Baylo U.California,682,398,1,334,13,15,4,77,1,17,220,368
Santa Barbara Business College at Bakersfield (Calif.)California,562,389,4,17,33,423,3,73,9,0,0,489
Concorde Career College at North Hollywood (Calif.)California,620,380,2,67,32,352,25,83,9,49,1,487
Sage CollegeCalifornia,407,378,0,12,20,128,7,190,46,4,0,213
East San Gabriel Valley Regional Occupational Program and Technical CenterCalifornia,581,375,8,35,36,247,1,254,0,0,0,327
Harvey Mudd CollegeCalifornia,804,373,4,167,13,80,0,352,50,36,102,314
Kaplan College at Sacramento (Calif.)California,429,369,5,41,79,172,7,100,0,25,0,304
Argosy U. at Los AngelesCalifornia,571,364,1,20,258,191,2,77,0,22,0,472
Kaplan College-ModestoCalifornia,429,350,6,19,9,227,11,118,0,39,0,272
Platt College at Riverside (Calif.)California,415,342,1,10,44,247,0,93,19,1,0,321
Laguna College of Art & DesignCalifornia,566,342,5,85,6,88,4,265,0,94,19,188
Pacific College of Oriental Medicine (Calif.)California,459,337,5,58,13,56,6,266,26,26,3,164
Charles R. Drew U. of Medicine and ScienceCalifornia,481,337,0,96,175,61,0,29,89,27,4,421
Everest College at AnaheimCalifornia,443,335,3,42,23,248,10,67,16,34,0,342
Empire College School of BusinessCalifornia,417,333,5,10,13,157,10,221,1,0,0,196
Touro U. WorldwideCalifornia,541,331,1,19,82,42,6,230,23,136,2,173
Wright InstituteCalifornia,445,330,3,44,19,32,0,298,36,0,13,134
Carrington College California at Pomona (Calif.)California,374,329,1,16,14,242,4,89,2,6,0,279
United States U.California,451,328,3,66,89,118,19,54,28,68,6,323
Casa Loma College at Van Nuys (Calif.)California,446,327,0,61,64,218,1,98,3,1,0,347
Menlo CollegeCalifornia,794,325,6,56,55,166,21,267,55,64,104,359
Santa Barbara Business College at Ventura (Calif.)California,420,320,3,8,30,234,3,90,6,1,45,284
South Coast CollegeCalifornia,342,312,2,30,10,129,1,122,19,28,1,191
Argosy U. San Francisco Bay AreaCalifornia,438,309,8,44,140,77,10,149,0,10,0,279
Marshall B. Ketchum U.California,427,306,0,240,2,21,3,124,28,0,9,294
Platt College at Ontario (Calif.)California,431,304,3,21,36,246,2,94,25,3,1,333
Kaplan College at Bakersfield (Calif.)California,393,303,1,1,18,287,2,39,0,45,0,309
Life Pacific CollegeCalifornia,584,299,1,28,24,161,10,327,20,13,0,244
Antioch U. at Santa Barbara (Calif.)California,423,298,4,14,10,103,3,234,0,8,47,134
Lincoln U. (Calif.)California,603,295,0,51,20,2,0,29,0,0,501,73
Kaplan College at Palm Springs (Calif.)California,379,291,0,3,18,296,5,56,0,1,0,322
Asher CollegeCalifornia,716,277,5,94,196,127,16,243,9,26,0,447
CBD CollegeCalifornia,411,276,0,42,75,174,7,113,0,0,0,298
Westwood College at AnaheimCalifornia,588,272,4,20,18,365,3,89,12,77,0,422
Glendale Career CollegeCalifornia,346,264,0,45,20,193,1,62,0,25,0,259
Soka U. of AmericaCalifornia,417,253,4,78,21,40,1,81,9,27,156,153
SUM Bible College and Theological SeminaryCalifornia,536,253,0,2,92,84,12,230,13,102,1,203
Argosy U. at San DiegoCalifornia,438,250,2,28,119,104,9,157,1,18,0,263
Five Branches U. Graduate School of Traditional Chinese MedicineCalifornia,371,248,2,160,5,14,0,160,0,17,13,181
Everest College at Los AngelesCalifornia,340,247,3,13,97,155,4,20,22,26,0,294
Fremont CollegeCalifornia,387,243,0,23,95,194,6,24,12,33,0,330
Musicians InstituteCalifornia,"1,142",237,11,37,75,151,4,329,70,61,404,348
Pacific CollegeCalifornia,274,237,0,35,23,159,2,35,2,18,0,221
Westwood College-South BayCalifornia,441,233,1,15,104,208,8,35,6,64,0,342
Kaplan College at Fresno (Calif.)California,272,232,2,13,5,177,0,67,0,8,0,197
Sofia U.California,314,231,2,3,24,23,0,160,70,25,7,122
Kaplan College at Chula Vista (Calif.)California,279,230,0,13,32,211,5,11,0,7,0,261
Mayfield CollegeCalifornia,509,225,7,9,53,281,1,158,0,0,0,351
Life Chiropractic College WestCalifornia,499,220,5,68,10,55,8,336,0,17,0,146
InterCoast Colleges-OrangeCalifornia,357,218,6,13,26,94,0,89,0,129,0,139
Brooks InstituteCalifornia,437,217,1,12,13,29,1,113,3,265,0,59
ITT Technical Institute at National City (Calif.)California,999,213,15,152,174,324,9,248,43,34,0,717
Advanced Computing InstituteCalifornia,354,212,0,12,95,10,0,20,9,0,208,126
Chicago School of Professional Psychology at IrvineCalifornia,267,211,1,23,31,65,1,128,4,7,7,125
San Francisco Conservatory of MusicCalifornia,389,205,0,29,5,21,1,146,27,36,124,83
Los Angeles ORT College at Van Nuys (Calif.)California,317,204,0,9,2,79,0,227,0,0,0,90
Art Institute of California-Silicon ValleyCalifornia,436,203,4,76,19,172,10,97,0,58,0,281
Chicago School of Professional Psychology-Westwood CampusCalifornia,241,197,1,5,39,43,0,125,9,14,5,97
Le Cordon Bleu College of Culinary Arts at San FranciscoCalifornia,442,197,2,12,4,5,1,14,5,399,0,29
Southern California Institute of ArchitectureCalifornia,523,197,0,72,8,43,4,125,10,6,255,137
Los Angeles ORT College at Los AngelesCalifornia,306,196,0,116,30,66,0,89,0,0,5,212
American U. of Health SciencesCalifornia,282,196,0,181,20,40,2,25,13,0,1,256
Interior Designers InstituteCalifornia,210,193,1,23,3,31,0,140,5,1,6,63
Western State College of LawCalifornia,353,187,4,49,26,89,0,176,1,5,3,169
Thomas Aquinas CollegeCalifornia,378,185,1,4,0,57,0,267,25,10,14,87
Phillips Graduate InstituteCalifornia,222,180,2,9,32,48,3,99,17,11,1,111
California College San DiegoCalifornia,322,180,3,12,52,164,7,82,1,1,0,239
American College of Traditional Chinese MedicineCalifornia,240,175,2,68,6,16,6,128,0,3,11,98
U. of the WestCalifornia,368,174,1,74,6,66,0,42,7,0,172,154
Emperor's College of Traditional Oriental MedicineCalifornia,222,174,1,32,7,14,0,122,0,33,13,54
Keck Graduate InstituteCalifornia,310,173,0,98,9,28,4,70,11,12,78,150
World Mission U.California,282,172,0,172,0,0,0,0,0,0,110,172
ITT Technical Institute at San Bernardino (Calif.)California,686,171,6,33,106,337,0,147,40,17,0,522
Santa Barbara Business College at Santa Maria (Calif.)California,204,171,0,1,5,149,2,42,3,1,1,160
American Academy of Dramatic Arts at Los AngelesCalifornia,280,166,3,3,23,27,1,116,37,2,68,94
Yo San U. of Traditional Chinese MedicineCalifornia,219,163,0,44,12,20,0,126,8,0,9,84
Los Angeles County College of Nursing and Allied HealthCalifornia,204,160,1,68,10,79,0,45,1,0,0,159
ITT Technical Institute at Anaheim (Calif.)California,783,156,8,93,42,374,1,228,20,17,0,538
U. of East-West MedicineCalifornia,234,156,0,187,0,1,0,8,0,0,38,188
NewSchool of Architecture and DesignCalifornia,498,156,0,45,16,165,0,138,17,23,94,243
Design Institute of San DiegoCalifornia,171,156,0,12,9,30,0,105,0,1,14,51
Cambridge Junior CollegeCalifornia,159,152,4,8,12,68,0,63,1,3,0,93
Cogswell Polytechnical CollegeCalifornia,611,150,1,92,26,103,14,256,65,50,4,301
Le Cordon Bleu College of Culinary Arts at Sacramento (Calif.)California,318,149,4,20,38,11,9,109,2,125,0,84
ITT Technical Institute at Sylmar (Calif.)California,607,148,3,58,55,309,4,139,13,26,0,442
Fashion Institute of Design and Merchandising-Orange County (Calif.)California,156,146,1,18,3,40,4,71,10,5,4,76
Cal State Maritime AcademyCalifornia,"1,047",146,3,93,19,179,4,569,110,63,7,408
Coleman U.California,796,144,4,78,43,101,4,264,2,32,268,232
ITT Technical Institute at Rancho Cordova (Calif.)California,500,138,4,38,57,55,1,236,20,89,0,175
Claremont School of TheologyCalifornia,285,137,0,25,25,21,6,128,7,30,43,84
Mt. Sierra CollegeCalifornia,467,136,2,44,27,206,9,81,33,59,6,321
American Film Institute ConservatoryCalifornia,324,133,4,18,12,31,0,126,8,20,105,73
Fashion Institute of Design and Merchandising at San DiegoCalifornia,142,133,2,11,5,53,4,53,2,7,5,77
Kaplan College at Riverside (Calif.)California,167,130,1,1,18,102,3,38,0,4,0,125
Bethesda U. of CaliforniaCalifornia,331,130,0,191,38,59,0,30,0,9,4,288
Columbia College HollywoodCalifornia,308,129,0,10,58,64,0,135,17,5,19,149
ITT Technical Institute at San Dimas (Calif.)California,551,128,1,47,30,319,1,114,14,25,0,412
International Professional School of BodyworkCalifornia,169,126,3,5,9,23,0,88,22,19,0,62
Infotech Career CollegeCalifornia,136,124,0,8,48,66,2,7,0,5,0,124
National Career CollegeCalifornia,147,122,1,10,4,101,0,31,0,0,0,116
ITT Technical Institute at Lathrop (Calif.)California,471,117,8,56,38,168,0,159,27,15,0,297
Epic Bible CollegeCalifornia,231,116,5,9,48,28,6,82,25,28,0,121
Rudolf Steiner CollegeCalifornia,129,115,0,5,1,6,0,65,1,23,28,13
Advanced CollegeCalifornia,125,115,0,7,31,84,1,2,0,0,0,123
California U. of Management and SciencesCalifornia,592,113,0,6,5,0,0,9,0,0,572,11
Acupuncture and Integrative Medicine CollegeCalifornia,138,110,0,12,6,8,1,89,9,8,5,36
John Paul the Great Catholic U.California,284,109,3,17,5,52,3,151,6,47,0,86
American Jewish U.California,204,108,2,0,2,6,1,65,1,127,0,12
WyoTech at Long BeachCalifornia,"1,136",107,6,46,139,686,18,160,64,17,0,959
ITT Technical Institute at Torrance (Calif.)California,453,107,1,44,108,223,0,45,18,14,0,394
Platt College at San DiegoCalifornia,316,103,4,31,34,77,0,109,32,27,2,178
ITT Technical Institute at Clovis (Calif.)California,395,102,12,19,27,180,0,112,11,34,0,249
California Miramar U.California,324,100,1,15,17,8,0,275,4,4,0,45
Graduate Theological UnionCalifornia,237,96,2,15,13,17,2,99,4,35,50,53
Expression College for Digital ArtsCalifornia,445,94,4,28,36,42,2,135,41,152,5,153
Trinity Law and Graduate SchoolCalifornia,193,93,1,32,27,39,5,68,5,15,1,109
Pacific School of ReligionCalifornia,175,91,1,9,23,7,2,87,4,23,19,46
Dongguk U.California,171,86,0,78,3,13,0,12,13,0,52,107
Academy of Chinese Culture and Health SciencesCalifornia,146,85,2,48,9,10,3,46,0,23,5,72
Pacific States U.California,172,84,0,7,0,2,0,2,0,0,161,9
San Joaquin College of LawCalifornia,175,84,1,18,8,54,1,91,0,2,0,82
National Hispanic U.California,120,83,3,2,3,53,1,11,6,41,0,68
Southern California SeminaryCalifornia,201,81,2,29,40,26,0,87,2,5,10,99
ITT Technical Institute at Corona (Calif.)California,446,81,5,25,38,192,1,146,24,15,0,285
Valley College of Medical CareersCalifornia,94,77,1,9,9,46,0,29,0,0,0,65
Bethel Seminary at San DiegoCalifornia,176,75,0,33,19,21,1,96,3,1,2,77
ITT Technical Institute at Oxnard (Calif.)California,291,73,2,31,24,125,1,88,8,12,0,191
California Career CollegeCalifornia,94,71,0,24,10,41,0,19,0,0,0,75
Southern California U. School of Oriental Medicine and AcupunctureCalifornia,119,69,0,67,0,0,0,0,0,0,52,67
Angeles College at Los AngelesCalifornia,94,68,1,58,11,18,0,5,0,1,0,88
ITT Technical Institute at Culver City (Calif.)California,312,64,2,15,97,149,0,23,11,15,0,274
San Francisco Theological SeminaryCalifornia,155,63,0,15,22,5,1,63,1,12,36,44
Starr King School for the MinistryCalifornia,89,59,0,1,3,0,0,53,2,30,0,6
Bergin U. of Canine StudiesCalifornia,65,56,0,7,1,2,1,51,0,1,2,11
Community Christian CollegeCalifornia,104,55,2,2,11,55,0,29,0,3,2,70
Mueller CollegeCalifornia,107,54,0,3,18,14,0,46,0,26,0,35
Pardee RAND Graduate School of Policy StudiesCalifornia,102,49,0,8,3,5,0,47,0,0,39,16
ITT Technical Institute at Concord (Calif.)California,233,49,1,39,40,56,2,70,11,14,0,149
Academy for Jewish ReligionCalifornia,65,48,0,0,0,0,0,65,0,0,0,0
Advanced Training AssociatesCalifornia,85,45,0,1,9,8,4,62,1,0,0,23
Grace Mission U.California,88,44,0,84,0,0,0,0,1,3,0,85
Providence Christian CollegeCalifornia,91,43,0,3,2,19,1,58,1,0,7,26
Los Angeles Music AcademyCalifornia,147,43,3,7,7,19,1,43,5,33,29,42
ITT Technical Institute at Oakland (Calif.)California,170,42,1,21,62,47,0,24,5,10,0,136
International Academy of Design and Technology at SacramentoCalifornia,60,38,0,5,6,2,3,11,1,32,0,17
Church Divinity School of the PacificCalifornia,64,34,0,1,0,0,1,60,1,0,1,3
Bryan College (Calif.)California,85,30,0,4,10,14,4,31,12,10,0,44
WyoTech at FremontCalifornia,805,29,9,96,64,284,37,213,71,30,1,561
Pacific Lutheran Theological SeminaryCalifornia,55,27,0,0,0,3,1,22,1,28,0,5
Southern California Institute of TechnologyCalifornia,526,26,1,86,42,250,10,121,12,4,0,401
American Baptist Seminary of the WestCalifornia,53,24,0,7,26,0,1,5,0,2,12,34
Ashdown College of Health SciencesCalifornia,31,24,1,2,3,5,0,19,1,0,0,12
American Conservatory TheaterCalifornia,48,24,0,3,6,5,0,28,2,3,1,16
Professional Golfers Career CollegeCalifornia,248,22,4,21,6,12,0,185,0,0,20,43
Shasta Bible College and Graduate SchoolCalifornia,51,22,0,4,5,5,1,34,0,2,0,15
Dell'Arte InternationalCalifornia,42,21,0,0,2,4,0,22,0,0,14,6
Bristol U.California,62,19,0,1,12,12,0,11,0,4,22,25
Franciscan School of TheologyCalifornia,32,16,0,4,1,10,0,13,0,0,4,15
Academy of Couture ArtCalifornia,22,16,0,4,12,2,0,3,0,1,0,18
Pinnacle CollegeCalifornia,174,15,1,6,43,57,0,57,8,2,0,115
Dominican School of Philosophy and TheologyCalifornia,80,13,2,7,0,7,2,58,1,0,3,19
Golf Academy of America (Calif.)California,168,8,2,10,3,10,3,106,8,25,1,36
Westminster Theological Seminary in CaliforniaCalifornia,149,8,0,27,2,10,1,76,4,11,18,44
Horizon U.California,34,7,1,1,2,7,0,14,2,7,0,13
ITT Technical Institute at West Covina (Calif.)California,8,4,0,0,0,8,0,0,0,0,0,8
California Christian CollegeCalifornia,20,4,1,0,2,6,0,10,1,0,0,10
Yeshiva Ohr Elchonon Chabad/West Coast Talmudical SeminaryCalifornia,163,0,0,0,0,0,0,158,0,0,5,0
